cov_bin_center,count
0.04643719665671493,24
0.06403670647997031,181
0.08163621630322568,552
0.09923572612648104,1173
0.11683523594973641,2320
0.1344347457729918,3880
0.15203425559624717,5804
0.16963376541950256,7930
0.18723327524275793,9776
0.2048327850660133,11107
0.22243229488926866,12130
0.24003180471252403,12359
0.25763131453577937,12122
0.2752308243590348,11331
0.2928303341822902,10184
0.3104298440055455,8992
0.32802935382880094,7717
0.34562886365205625,6522
0.36322837347531167,5321
0.380827883298567,4369
0.3984273931218224,3417
0.4160269029450778,2699
0.43362641276833314,2274
0.45122592259158856,1715
0.46882543241484387,1393
0.4864249422380993,1007
0.5040244520613546,791
0.5216239618846099,600
0.5392234717078653,464
0.5568229815311208,353
0.5744224913543761,282
0.5920220011776314,198
0.6096215110008869,172
0.6272210208241422,122
0.6448205306473975,88
0.662420040470653,65
0.6800195502939084,49
0.6976190601171637,36
0.715218569940419,31
0.7328180797636744,31
0.7504175895869298,14
0.7680170994101851,18
0.7856166092334406,11
0.803216119056696,3
0.8208156288799513,8
0.8384151387032066,2
0.856014648526462,5
0.8736141583497175,2
0.8912136681729728,1
0.9088131779962282,1
