bin_center,pdf_3d,pdf_2d_median,pdf_2d_lo,pdf_2d_hi
0.01,0.00016410918339443092,0.0,0.0,0.0
0.03,0.16619365793438826,0.24158660675167393,0.16381673079350564,0.32383149669083017
0.049999999999999996,0.22091399371674886,0.2635279415103845,0.1875857992456647,0.34920070812069626
0.06999999999999999,0.5002767686982406,0.6723114864297252,0.5569382286326876,0.8044580444120043
0.08999999999999998,1.2251556690768837,1.0819543911172784,0.9233415387456142,1.2356886193331267
0.10999999999999997,2.3238551354686763,2.366201826479536,2.1257871414394933,2.610148368736009
0.12999999999999998,3.2168135098365034,2.7465921846622656,2.4983374307872266,3.0126467888946626
0.15,3.847188553447799,3.8770590770691182,3.589494948124313,4.153217475324792
0.16999999999999998,4.322546638246412,3.852610377766059,3.5624068254651657,4.132259534402207
0.18999999999999997,4.439611189067772,4.468660347413598,4.12504681730042,4.819657231772055
0.20999999999999996,4.320836447808933,3.954274249325102,3.6290335002881964,4.2462370431529814
0.22999999999999998,4.083764897299035,4.1165451574212115,3.7961397016296687,4.424176339199707
0.24999999999999997,3.7675955995015005,3.506989840014739,3.2165954968944104,3.799155519022856
0.26999999999999996,3.3870580734031015,3.4419246443110607,3.168295437149774,3.7216937672642785
0.29,2.941317377544463,3.009075411994721,2.762382472930222,3.254599441114824
0.30999999999999994,2.4948079597215034,2.435684492639786,2.2195345771434765,2.6640449090491654
0.32999999999999996,2.0642200117962837,2.1804115870791265,1.9560535470881713,2.422506371707194
0.35,1.6511629554094622,1.6916009716937612,1.5067906227272336,1.89149736940956
0.36999999999999994,1.305626751109767,1.4417135653121862,1.2717418085099779,1.6627561826837192
0.38999999999999996,0.9907645685624273,1.1302763034349272,0.9533337585545039,1.2957838717340353
0.4099999999999999,0.7536383149913971,0.8349110197506038,0.6962104036778135,1.0103822709624157
0.42999999999999994,0.557121886539287,0.6778604987267158,0.5423561665247564,0.8162084779804165
0.44999999999999996,0.40334582348174397,0.49216554658479506,0.3838770547130431,0.6213321285728841
0.4699999999999999,0.2888148881233148,0.38452431111065444,0.2914652142553122,0.48905517327759646
0.48999999999999994,0.20514799567696107,0.28679591602615584,0.20127088835059292,0.37032342059536344
0.5099999999999999,0.14260512215279927,0.20127666982431092,0.1306413688742681,0.277158023720756
0.5299999999999999,0.10185997893529074,0.1555603578029391,0.0953208932409276,0.2178883710062228
0.5499999999999999,0.0734892439674184,0.11270783400809409,0.06293502439842322,0.1721960243567819
0.57,0.051846985518717754,0.08024302409544354,0.0399552509328592,0.12860795106389963
0.59,0.03914435890229268,0.06104667314434241,0.02811421798636405,0.10357648875278816
0.6099999999999999,0.029021413484488837,0.04833545665514786,0.017164582649585227,0.08404962659766285
0.6299999999999999,0.022347640026448647,0.03442143319228531,0.011202034303135393,0.06868024727674672
0.6499999999999999,0.016197864311878394,0.027978288935457972,0.005733961395076239,0.05754253262656026
0.6699999999999999,0.011680543105810636,0.022212350066637052,0.0055450815126982375,0.04550095126861175
0.69,0.008801434625206585,0.01666944495895064,0.0,0.03697264267902572
0.7099999999999999,0.0062620609453138115,0.01142269693599806,0.0,0.033552263078213365
0.7299999999999999,0.004537474965431985,0.006184674589802578,0.0,0.02792040451930813
0.7499999999999999,0.0035700945159490237,0.005728033068645579,0.0,0.022413735246631247
0.7699999999999999,0.002622867825830291,0.005595657787091594,0.0,0.017324917296048938
0.7899999999999999,0.0018627831869508212,0.005549389567147615,0.0,0.01712832410811069
0.8099999999999998,0.0015086528438365229,0.0,0.0,0.016660743167362813
0.8299999999999998,0.0010911821141489355,0.0,0.0,0.011582117211026177
0.8499999999999999,0.000837820567855779,0.0,0.0,0.011502119280308155
0.8699999999999999,0.0004750528992996685,0.0,0.0,0.011283404244942808
0.8899999999999999,0.00042898716361000367,0.0,0.0,0.006172001369812837
0.9099999999999999,0.00031094371590523754,0.0,0.0,0.006181978915573152
0.9299999999999998,0.00021593313604530384,0.0,0.0,0.005893446487505894
0.9499999999999998,0.00019290026820047143,0.0,0.0,0.005887166573559488
0.9699999999999999,0.00014395542403020258,0.0,0.0,0.005889281507656066
0.9899999999999999,0.00015547185795261877,0.0,0.0,0.005883702739744993
