group,coord,density
slice,0.009370026047032,0.11362188649064485
slice,0.009742047713896876,0.13918556725184325
slice,0.010114069380761752,0.21042275493616716
slice,0.010486091047626628,0.3882744325141396
slice,0.010858112714491504,0.5622925082063928
slice,0.01123013438135638,0.5743518512046338
slice,0.011602156048221256,0.5085023223305101
slice,0.011974177715086133,0.525600591962741
slice,0.01234619938195101,0.705154593637656
slice,0.012718221048815885,1.0748488570852797
slice,0.013090242715680761,1.6109102547046013
slice,0.013462264382545637,2.1489718728294207
slice,0.013834286049410513,2.238728197832527
slice,0.01420630771627539,1.7524762872432746
slice,0.014578329383140267,1.1853748779565723
slice,0.014950351050005143,0.9019421806220267
slice,0.015322372716870019,0.8217712127130562
slice,0.015694394383734895,0.893771106179202
slice,0.01606641605059977,1.2225103689324404
slice,0.016438437717464647,1.8050605132490862
slice,0.016810459384329523,2.550293153636887
slice,0.0171824810511944,3.438502208172476
slice,0.017554502718059275,4.5316385835681965
slice,0.01792652438492415,6.024547791783894
slice,0.018298546051789027,7.9356220079263355
slice,0.018670567718653903,9.857863942421286
slice,0.01904258938551878,11.534459315111276
slice,0.019414611052383658,12.770140915373027
slice,0.019786632719248534,13.2002233520981
slice,0.02015865438611341,13.223264628089796
slice,0.020530676052978286,14.391092727060435
slice,0.020902697719843162,17.761003170140043
slice,0.021274719386708038,23.1181705501161
slice,0.021646741053572914,29.301171337682483
slice,0.02201876272043779,35.36739520573952
slice,0.022390784387302666,40.967468616784224
slice,0.022762806054167542,46.37911232318633
slice,0.023134827721032418,53.56357490403517
slice,0.023506849387897294,62.212555351455364
slice,0.02387887105476217,68.91051061102095
slice,0.024250892721627046,72.34781272020504
slice,0.024622914388491922,74.75106234241595
slice,0.024994936055356798,78.30431116850632
slice,0.025366957722221674,82.49295213715612
slice,0.02573897938908655,86.07876265838883
slice,0.026111001055951426,88.1940544569417
slice,0.026483022722816302,89.29051457311293
slice,0.026855044389681178,91.66410619232235
slice,0.027227066056546054,96.06532324843934
slice,0.02759908772341093,101.7095800221004
slice,0.027971109390275806,106.97710968701217
slice,0.02834313105714068,109.65938728213783
slice,0.028715152724005558,108.25449231491497
slice,0.029087174390870434,102.17723467746625
slice,0.029459196057735313,92.45739348584921
slice,0.02983121772460019,80.98523140471514
slice,0.030203239391465065,68.6649400635517
slice,0.03057526105832994,56.70691076657767
slice,0.030947282725194817,46.791067098706584
slice,0.031319304392059696,39.01144407350934
slice,0.031691326058924565,32.362240484838985
slice,0.03206334772578945,26.849063126042502
slice,0.03243536939265432,22.550488073756263
slice,0.0328073910595192,19.18718010783745
slice,0.03317941272638407,17.746257427838607
slice,0.03355143439324895,19.217380382237305
slice,0.03392345606011382,21.947000263118113
slice,0.034295477726978704,23.59815905508258
slice,0.03466749939384357,24.084664688289056
slice,0.035039521060708456,23.91825837758739
slice,0.035411542727573325,23.591769868075627
slice,0.03578356439443821,23.779898516877402
slice,0.03615558606130308,24.576552750843895
slice,0.03652760772816796,24.998801508477175
slice,0.03689962939503283,23.662361973709242
slice,0.03727165106189771,20.746859956285775
slice,0.03764367272876259,17.965206492882132
slice,0.038015694395627464,16.488641331496925
slice,0.03838771606249234,16.271125235192656
slice,0.038759737729357216,16.11582116220818
slice,0.03913175939622209,15.191557805545008
slice,0.03950378106308697,14.087284832043965
