mean_radius_um,cond_current_median,cond_current_q25,cond_current_q75,cond_lee_median,cond_lee_q25,cond_lee_q75
0.09657450327298102,5.202250447640999,3.8342187186250545,7.555291874083303,6.76933742690673,5.0463735991572864,9.750403754841717
0.11803550400031013,4.815135293299488,3.2557513708882437,6.273697446271765,6.170172998621049,4.176234301421616,8.003885467201464
0.13949650472763925,4.769930121620586,3.336821565791581,6.454744290630801,6.001848573494623,4.218539919189254,8.104952008695761
0.16095750545496834,4.855582885012799,3.472160189984441,6.635724364420392,6.0132286800415375,4.311414166640315,8.176832802009843
0.1824185061822975,4.708315162433285,3.3329019837971985,6.546456473156814,5.744357649407828,4.072628689258872,7.959056006073167
0.20387950690962658,4.347049824719528,3.006289652884042,6.181177044357089,5.231575584056292,3.6286192623716906,7.419391983563806
0.2253405076369557,3.8681471437084944,2.6644526908503248,5.64649650178464,4.597348443235227,3.1706558750447424,6.69339577407631
0.2468015083642848,3.3877963782587783,2.3362860264265373,5.024920250120751,3.980769193946332,2.7485437178647265,5.891620806627174
0.2682625090916139,3.0272418391926292,2.0602246641155815,4.44551636179128,3.518986640000948,2.3964961448984274,5.1635176764095405
0.289723509818943,2.7102409012948914,1.8509475598410319,4.022485145763993,3.118497376819046,2.1315400449557846,4.626847093769032
0.31118451054627216,2.4638368209842665,1.6491514109066991,3.7207712691491643,2.805943960654461,1.8808521303257635,4.234390425652492
0.3326455112736013,2.230720797370267,1.4811927628166077,3.5286072852557027,2.51817633793312,1.673851319153008,3.990651663201217
0.35410651200093035,1.9659777502593845,1.3166255292661493,3.0752610857459755,2.1987266243284456,1.4742177556581137,3.439624556724902
0.3755675127282595,1.8152613953784091,1.166908878746653,2.900812466421532,2.0157888335258556,1.297526952375172,3.221561758988256
0.39702851345558865,1.6181314342590958,1.0610899101770626,2.6267278970308423,1.7813578260882146,1.1706042042714082,2.8930576527509464
0.41848951418291774,1.3502676776517397,0.8851167955420375,2.396446455906448,1.4753448365128818,0.9679997112332861,2.62115079217273
0.43995051491024684,1.274408470654298,0.8451263576217172,2.0928699511250537,1.3833742530872661,0.9177902778816249,2.271252864637674
0.461411515637576,1.2396939545871954,0.7816099838908463,2.0444347432701573,1.3384265261234818,0.8439713069179122,2.2053897528075463
0.4828725163649051,1.152525622360162,0.7381904316342197,2.068259277895326,1.235512654886023,0.7926993602145993,2.215815997306461
0.5043335170922342,0.9401952614114473,0.5775885344693255,1.5878929931737202,1.0021689527083044,0.615466183613822,1.695053447051556
0.5257945178195633,0.9314866325372428,0.5572739974358282,1.7656047854644918,0.9863828614525283,0.5900096605222671,1.8654690101265108
0.5472555185468924,0.85682797037957,0.5183374817407604,1.7253107763550157,0.9038404812795942,0.5458432899503429,1.819577517501203
0.5687165192742216,0.8094160333051048,0.48466294710131363,1.5893636944199319,0.8497897982579106,0.5072059392507294,1.6662423963824584
0.5901775200015507,0.8965572697351598,0.4452377789465167,1.590344197457891,0.9353606309860374,0.4641144883931969,1.6550547761518737
0.6116385207288797,0.7093927713466508,0.4912489692690203,1.644120974336627,0.7360134584515898,0.5102400661912698,1.7000239750289858
0.633099521456209,0.7835970230732625,0.4047857472255417,1.7218690536978887,0.8088222109158272,0.41782230400363163,1.7723439474366942
