group,x,y
within,1.071011706544666,0.02885874399005679
within,1.1159208660171123,0.027007758402468458
within,1.1263171591885575,0.027723973962458737
within,1.0010898775549297,0.027849177990412362
within,1.0060825344221707,0.027036322062197155
within,1.0899611232291508,0.02564042500153921
within,0.9443352075232604,0.020598627823345515
within,1.1012147087035207,0.03640546851124179
within,0.998242493955227,0.027840715035880304
within,0.8847570173005805,0.023389315398306403
within,0.8716177441218831,0.03233917763531805
within,1.102597963311839,0.028922697362461496
within,0.8666703750720633,0.025879064529289883
within,0.9341834308400968,0.03504508729748535
within,0.9502390121504638,0.028311786559266975
within,0.9018983335574782,0.030563551730478804
within,0.9441680109405968,0.027507313754348152
within,1.0728077700175258,0.025144231461959748
within,0.8544048530680213,0.017696511509727505
within,1.098152027356206,0.026759808200817838
within,1.1069644070723674,0.03039289022864418
within,0.9616784719574645,0.03162413295042443
within,0.8960838697181904,0.025520900243413434
within,1.0302521223835241,0.021987936316365145
within,0.8859017667594683,0.03011124798380259
within,0.9594758083234758,0.02881123174647685
within,1.1375287542702917,0.018253924250498342
within,1.148639341775091,0.02705303067125597
within,1.0816314674063756,0.02601834199559424
within,0.9432884529762299,0.028990478514722317
within,1.0562995147498278,0.02574773624098049
within,1.0616219096452038,0.025001038567392244
within,0.9663525085490949,0.033078452827767724
within,1.042266590375848,0.023888635191710264
within,0.8532182934927028,0.02397580511192271
within,0.9127172975806724,0.037193154034703704
within,1.0075264908901784,0.028421094543902393
within,0.8991253912774888,0.01892629031279502
within,0.8997720603629601,0.02705867230670585
within,1.1008912871650713,0.027742305291425788
within,1.1467399008050816,0.024753873027015014
within,1.0167908284085345,0.0272944936373862
within,1.101720919264514,0.031699471286436604
within,1.1470964992978818,0.03498848624334702
within,0.8924787665706324,0.028028623016047825
within,0.9844736839763053,0.02257624620687664
within,0.967771814752576,0.029038789119238264
within,0.8740147850938556,0.030347382852059127
within,1.0765990518384234,0.04006953491016423
within,0.9801337081967779,0.024183430843557754
within,0.9907980802571204,0.027512292923579866
within,0.8952018921439721,0.02635336387961662
within,0.9042779956692605,0.030124907260747995
within,1.1221310866468646,0.03131789146274218
within,0.8633947266922837,0.03547626209621717
within,0.9198556854831119,0.027615765844122956
within,0.9376177990943585,0.026315884496818313
within,0.997059262720476,0.03976436410736239
within,1.0259335519044388,0.02542083518196152
within,0.9979869927552,0.026111236469513435
within,0.8752346003670646,0.027821700002398406
within,0.9231002362167141,0.029540533101239032
within,1.1030765154287623,0.02657464174951567
within,1.0412766101435378,0.02932053087988344
within,1.0447447150402822,0.023572660678908456
within,1.0510609766054064,0.03823761158845245
within,1.0788709057118586,0.023411877211191007
within,0.8674325445164341,0.028058176038508846
within,0.9599825154797837,0.029146298444534903
within,1.0118582305785035,0.024763692788764557
within,0.9515369449891978,0.03047488440140714
within,1.1033436619861559,0.026297794543496757
within,0.9947717525761882,0.029636939615834426
within,1.0805882768378137,0.026406145274209095
within,1.1056046550643508,0.023672993900835927
within,1.0014374448710495,0.019681644408103775
within,1.122865673161405,0.02570619306774033
within,1.026137182161094,0.02602338601653718
within,1.1050822896501165,0.0254498308082015
within,0.9521772386774573,0.02738803252305087
