metric,r_slice_mean,r_slice_std,r_random_mean,r_random_std,bias_slice,bias_random,p_slice,p_random
mean_radius,0.9852898464909177,0.004368453812350656,0.9881730958775883,0.0021808310520514858,-11.985858067110208,-11.97237429283978,0.0,0.0
r_eff,0.9712101054288461,0.028412310815713045,0.9666570775837569,0.028398313801812573,-10.526291174537405,-10.585324227719905,0.0,0.0
