roi,mean_radius_3d,mean_radius_slice_median,mean_radius_slice_q25,mean_radius_slice_q75,mean_radius_random_median,mean_radius_random_q25,mean_radius_random_q75,r_eff_3d,r_eff_slice_median,r_eff_slice_q25,r_eff_slice_q75,r_eff_random_median,r_eff_random_q25,r_eff_random_q75
sham_25_contra_CC,0.23422280826400005,0.19953764975070953,0.1984749734401703,0.2010130137205124,0.19972850382328033,0.19908524304628372,0.2003740258514881,0.3746229777070602,0.33826974034309387,0.3327057361602783,0.34403350949287415,0.3382534980773926,0.33427485823631287,0.34305572509765625
sham_25_contra_CG,0.2996282040618954,0.2599886953830719,0.2585521638393402,0.2617504596710205,0.25977247953414917,0.25826897472143173,0.26134251803159714,0.6653312171826067,0.5807331204414368,0.5701537132263184,0.6075446307659149,0.5842537581920624,0.5654222518205643,0.6084908992052078
sham_25_ipsi_CC,0.24031720723824754,0.20879238843917847,0.20796934515237808,0.20980310067534447,0.20901771634817123,0.20830457657575607,0.2097509428858757,0.4240174308808183,0.3751865029335022,0.36668911576271057,0.38378629088401794,0.3751930892467499,0.36952660977840424,0.3819470629096031
sham_25_ipsi_CG,0.28229255871927106,0.253584161400795,0.2526012063026428,0.25493380427360535,0.25419849157333374,0.2527974992990494,0.25567885488271713,0.8361293710498127,0.7297234535217285,0.7028019279241562,0.7571356296539307,0.7287048101425171,0.699084147810936,0.7636788934469223
sham_49_contra_CC,0.24760537408335226,0.2185235470533371,0.21732419729232788,0.21972283720970154,0.21858267486095428,0.21772485971450806,0.21944624930620193,0.3912190679372553,0.36988887190818787,0.3657463490962982,0.37540826201438904,0.3702302575111389,0.36550237238407135,0.3752213269472122
sham_49_contra_CG,0.2968883162981448,0.26859593391418457,0.2663742005825043,0.27105653285980225,0.2685403972864151,0.2670688256621361,0.2699743062257767,0.6347115642579054,0.529732346534729,0.5232248306274414,0.5375640392303467,0.5295823216438293,0.5208161771297455,0.5382969081401825
sham_49_ipsi_CG,0.3014192200418379,0.2772432267665863,0.2758955657482147,0.27912256121635437,0.277590274810791,0.2764725685119629,0.278690941631794,0.74073099256221,0.6424520015716553,0.6271472573280334,0.6595549434423447,0.6396076679229736,0.6142114400863647,0.6685121953487396
tbi_24_contra_CC,0.21622916872536427,0.18548165261745453,0.18452796339988708,0.18618734180927277,0.18527518212795258,0.18469170108437538,0.18586189299821854,0.34185447986266565,0.31553786993026733,0.31128066778182983,0.3212423622608185,0.31498314440250397,0.3106040135025978,0.3208397328853607
tbi_24_contra_CG,0.2596787037025681,0.22171586751937866,0.22011500597000122,0.22296985983848572,0.2215212732553482,0.22040532529354095,0.22266361489892006,0.5596639970169672,0.4288376569747925,0.41711053252220154,0.44423186779022217,0.42473049461841583,0.405763603746891,0.45247800648212433
tbi_24_ipsi_CC,0.23503702238765534,0.2055547684431076,0.20472270250320435,0.206506609916687,0.2059054598212242,0.20500460639595985,0.20679321140050888,0.4124663071302485,0.3620436191558838,0.3563891053199768,0.36761125922203064,0.35971784591674805,0.3501185104250908,0.37146903574466705
tbi_24_ipsi_CG,0.2275352651780174,0.1958380490541458,0.19176261126995087,0.1987539380788803,0.19527830183506012,0.19431310519576073,0.19622385874390602,0.34644859106760445,0.32017865777015686,0.3099016919732094,0.3278151750564575,0.31849054992198944,0.3132726773619652,0.32533279806375504
tbi_28_contra_CC,0.229695316848635,0.20246316492557526,0.20111535117030144,0.20371556282043457,0.20238526910543442,0.20153004303574562,0.20324881002306938,0.40897531726887204,0.39327701926231384,0.38650938868522644,0.40132005512714386,0.3931707590818405,0.3861139640212059,0.40158212184906006
tbi_28_contra_CG,0.26717657548655144,0.23781199753284454,0.23670507967472076,0.23937375843524933,0.23828990757465363,0.237288948148489,0.239286657422781,0.5111032671034388,0.44547054171562195,0.4402764141559601,0.4553648829460144,0.4471631944179535,0.43783532083034515,0.4590853452682495
tbi_28_ipsi_CC,0.23326034612435625,0.2057080715894699,0.20411238074302673,0.20661921799182892,0.20548783242702484,0.20460347458720207,0.20635369420051575,0.4136527240535626,0.40067267417907715,0.39380544424057007,0.40800538659095764,0.40065331757068634,0.39443185180425644,0.407600536942482
tbi_28_ipsi_CG,0.2424533612204249,0.21687927842140198,0.21419700980186462,0.21892881020903587,0.21656837314367294,0.2154439203441143,0.21771231666207314,0.3972793449347441,0.381853848695755,0.37257102131843567,0.3954155743122101,0.3823680281639099,0.3727121278643608,0.3954321965575218
tbi_2_contra_CC,0.22993610178225016,0.20353375375270844,0.20117348432540894,0.20461231470108032,0.2030412182211876,0.2021995261311531,0.20394321903586388,0.3438767683106302,0.32848677039146423,0.32360363006591797,0.33520880341529846,0.32870687544345856,0.323943093419075,0.3345220983028412
tbi_2_contra_CG,0.2640778505268231,0.23449324071407318,0.2334814965724945,0.23620811104774475,0.2348630055785179,0.23400011286139488,0.2358102723956108,0.552921332225014,0.43339091539382935,0.42771270871162415,0.4427780508995056,0.434068039059639,0.4273829683661461,0.4418268948793411
tbi_2_ipsi_CC,0.21515790014454056,0.18948666751384735,0.18724288046360016,0.191144660115242,0.18935422599315643,0.1885366551578045,0.1901986077427864,0.319501605807581,0.2956811189651489,0.2908141016960144,0.3029322326183319,0.29641789197921753,0.2929028198122978,0.3006461262702942
tbi_2_ipsi_CG,0.20615441537104898,0.18147096037864685,0.18044732511043549,0.18378223478794098,0.18208081275224686,0.1813022904098034,0.18288496509194374,0.3146911038252695,0.28338706493377686,0.27938881516456604,0.28761717677116394,0.2830548882484436,0.2787584811449051,0.28836847841739655
