species,sample_size,position,mean,median,vmin,vmax
rat,100,-0.15,0.014453736152198594,0.013418663770074193,0.004976228869727486,0.045052117710072004
rat,1000,0.85,0.0046432210952631996,0.004448668180159406,0.0010223417235094153,0.012128993293904591
rat,10000,1.85,0.0014989144371352734,0.001421148365287471,0.0005963459102642508,0.003571717025753301
rat,100000,2.85,0.00047902856497926725,0.0004506550599293809,0.00018010757422332505,0.0012665496471820981
human,100,0.15,0.0415058178136574,0.03869284839169375,0.01785744555119909,0.12060676013186597
human,1000,1.15,0.013461832205263135,0.012487443369041552,0.004983991120093283,0.03984503428131256
human,10000,2.15,0.004354418283065005,0.004041761877548639,0.0016562334990248336,0.01129098008015064
human,100000,3.15,0.001358743122354594,0.0012739740734865844,0.0004425617432825141,0.0034537393911426386
