axon_index,cov,arc_length_um,radius_um
0,0.1077,0.0,0.40142792613437356
0,0.1077,0.04980734397003302,0.4059249955593125
0,0.1077,0.09961468794006605,0.4164482585513472
0,0.1077,0.14942203191009906,0.4129100783308551
0,0.1077,0.1992293758801321,0.4091590225875356
0,0.1077,0.24903671985016512,0.40885501851659634
0,0.1077,0.2988440638201981,0.40696512461758144
0,0.1077,0.3486514077902312,0.4042060072138634
0,0.1077,0.3984587517602642,0.4024178855319474
0,0.1077,0.4482660957302972,0.39950289907501463
0,0.1077,0.49807343970033024,0.39587609554733244
0,0.1077,0.5478807836703633,0.39575044053843866
0,0.1077,0.5976881276403962,0.3939870625214922
0,0.1077,0.6474954716104293,0.39297586531344986
0,0.1077,0.6973028155804624,0.39524742102718213
0,0.1077,0.7471101595504953,0.3963783172469585
0,0.1077,0.7969175035205284,0.3998762082040373
0,0.1077,0.8467248474905614,0.40204693641129297
0,0.1077,0.8965321914605944,0.39392393874274506
0,0.1077,0.9463395354306274,0.3944916891292438
0,0.1077,0.9961468794006605,0.39417637320552695
0,0.1077,1.0459542233706935,0.4045135051717741
0,0.1077,1.0957615673407266,0.40525054830678453
0,0.1077,1.1455689113107594,0.4045749767176304
0,0.1077,1.1953762552807925,0.4032821065606935
0,0.1077,1.2451835992508256,0.4077587272043536
0,0.1077,1.2949909432208586,0.4059249955593125
0,0.1077,1.3447982871908917,0.4065371584701577
0,0.1077,1.3946056311609247,0.40720947475945163
0,0.1077,1.4444129751309576,0.4023560844280689
0,0.1077,1.4942203191009906,0.39975181056276177
0,0.1077,1.5440276630710237,0.4017994467378488
0,0.1077,1.5938350070410567,0.40186133344545305
0,0.1077,1.6436423510110898,0.40173755049674553
0,0.1077,1.6934496949811229,0.40111806277200107
0,0.1077,1.743257038951156,0.4048821944524756
0,0.1077,1.7930643829211887,0.4065371584701577
0,0.1077,1.8428717268912218,0.412247059019606
0,0.1077,1.8926790708612549,0.4134517578444175
0,0.1077,1.942486414831288,0.4144129954285921
0,0.1077,1.992293758801321,0.4177003786980451
0,0.1077,2.042101102771354,0.4213754067181612
0,0.1077,2.091908446741387,0.4236707852281394
0,0.1077,2.14171579071142,0.4346800651075564
0,0.1077,2.191523134681453,0.4431784594938501
0,0.1077,2.241330478651486,0.44272932995410685
0,0.1077,2.291137822621519,0.4427854960602578
0,0.1077,2.340945166591552,0.448699234466973
0,0.1077,2.390752510561585,0.4551374579377587
0,0.1077,2.4405598545316183,0.456010833570327
0,0.1077,2.490367198501651,0.4568281067636358
0,0.1077,2.5401745424716844,0.4571546069411803
0,0.1077,2.5899818864417172,0.45959596498965793
0,0.1077,2.63978923041175,0.4531113291328578
0,0.1077,2.6895965743817833,0.4457521724751189
0,0.1077,2.739403918351816,0.4427854960602578
0,0.1077,2.7892112623218495,0.4495851173323102
0,0.1077,2.8390186062918823,0.4455289615585312
0,0.1077,2.888825950261915,0.4370193722368317
0,0.1077,2.9386332942319484,0.4548095096848215
0,0.1077,2.9884406382019812,0.4500274048149033
0,0.1077,3.0382479821720145,0.432443127050225
0,0.1077,3.0880553261420474,0.43855307722396875
0,0.1077,3.1378626701120806,0.4367347617395407
0,0.1077,3.1876700140821135,0.42932658719010325
0,0.1077,3.2374773580521463,0.4234359344422287
0,0.1077,3.2872847020221796,0.41823585408467345
0,0.1077,3.3370920459922124,0.4149527130379368
0,0.1077,3.3868993899622457,0.4059862533874074
0,0.1077,3.4367067339322785,0.3948697358754419
0,0.1077,3.486514077902312,0.3946177449526014
0,0.1077,3.5363214218723447,0.39303914135690216
0,0.1077,3.5861287658423775,0.39430252983324277
0,0.1077,3.6359361098124108,0.392532647407628
0,0.1077,3.6857434537824436,0.3984432904870725
0,0.1077,3.735550797752477,0.3940501761883002
0,0.1077,3.7853581417225097,0.3889047850785804
0,0.1077,3.8351654856925426,0.3789951663813611
0,0.1077,3.884972829662576,0.3735759504086227
0,0.1077,3.9347801736326087,0.38076266357505884
0,0.1077,3.984587517602642,0.38928825743311873
0,0.1077,4.034394861572675,0.38947985202634394
0,0.1077,4.084202205542708,0.3927226591883767
0,0.1077,4.134009549512741,0.40285022779442126
0,0.1077,4.183816893482774,0.4112202901549713
0,0.1077,4.233624237452807,0.4165079686754696
0,0.1077,4.28343158142284,0.4184736232079641
0,0.1077,4.333238925392873,0.4100696825669153
0,0.1077,4.383046269362906,0.4045135051717741
0,0.1077,4.432853613332939,0.4082463312377028
0,0.1077,4.482660957302972,0.4100696825669153
0,0.1077,4.532468301273005,0.4090982398459705
0,0.1077,4.582275645243038,0.40702622590530924
0,0.1077,4.632082989213071,0.409948378117414
0,0.1077,4.681890333183104,0.413211099059275
0,0.1077,4.731697677153138,0.4107362166615078
0,0.1077,4.78150502112317,0.4064147996537007
0,0.1077,4.831312365093203,0.40635360642898377
0,0.1077,4.8811197090632366,0.40475933534042147
0,0.1077,4.930927053033269,0.40604750197391976
0,0.1077,4.980734397003302,0.40647598366603876
0,0.1077,5.0305417409733355,0.407270539388236
0,0.1077,5.080349084943369,0.4083072407988382
0,0.1077,5.130156428913401,0.4092805609899154
0,0.1077,5.1799637728834345,0.4125485635278538
0,0.1077,5.229771116853468,0.4086116524125829
0,0.1077,5.2795784608235,0.4058637284854507
0,0.1077,5.329385804793533,0.40635360642898377
0,0.1077,5.379193148763567,0.40537325854375494
0,0.1077,5.429000492733599,0.40537325854375494
0,0.1077,5.478807836703632,0.4041444795466809
0,0.1077,5.528615180673666,0.40198507827777635
0,0.1077,5.578422524643699,0.401304009500418
0,0.1077,5.628229868613731,0.4015518045283528
0,0.1077,5.678037212583765,0.3976310963416403
0,0.1077,5.727844556553798,0.39575044053843866
0,0.1077,5.77765190052383,0.39335536889325917
0,0.1077,5.8274592444938635,0.392532647407628
0,0.1077,5.877266588463897,0.3924692897044621
0,0.1077,5.92707393243393,0.3876238040454849
0,0.1077,5.9768812764039625,0.39310240721507567
0,0.1077,6.026688620373996,0.39386080484719693
0,0.1077,6.076495964344029,0.38794444584408416
0,0.1077,6.1263033083140614,0.3842085497717782
0,0.1077,6.176110652284095,0.3847906352747932
0,0.1077,6.225917996254128,0.38369039909802694
0,0.1077,6.275725340224161,0.3867245926840772
0,0.1077,6.325532684194194,0.3838847875589131
0,0.1077,6.375340028164227,0.38213173158848507
0,0.1077,6.42514737213426,0.38832886652883647
0,0.1077,6.474954716104293,0.3889687233913969
0,0.1077,6.524762060074326,0.3878162209369808
