bin_center,pdf_3d,pdf_2d_median,pdf_2d_lo,pdf_2d_hi
0.01,0.00016410918339443092,0.0,0.0,0.011495112428312141
0.03,0.16619365793438826,0.15178546516257108,0.09524585688591984,0.21509954590792166
0.049999999999999996,0.22091399371674886,0.5358049512774097,0.43624405111423814,0.6498849103786754
0.06999999999999999,0.5002767686982406,1.469162743617045,1.2722649565673527,1.640454657812633
0.08999999999999998,1.2251556690768837,2.657891336501179,2.411825684131942,2.9149599234547483
0.10999999999999997,2.3238551354686763,4.084244906890156,3.7570187759916562,4.371707753622694
0.12999999999999998,3.2168135098365034,4.669114941168867,4.370174723182684,4.972237964168138
0.15,3.847188553447799,4.904839086680809,4.587638092214865,5.243736152040573
0.16999999999999998,4.322546638246412,4.773997105600197,4.419015037250568,5.122935899297864
0.18999999999999997,4.439611189067772,4.483989877824037,4.117911604875559,4.808429748680696
0.20999999999999996,4.320836447808933,4.1206029323592,3.810748484986473,4.421049354394705
0.22999999999999998,4.083764897299035,3.6366230290887316,3.3635894460437723,3.912470790062621
0.24999999999999997,3.7675955995015005,3.120973767785501,2.8835061001345603,3.3682859604329214
0.26999999999999996,3.3870580734031015,2.622486556133715,2.3973441375052222,2.86679289633088
0.29,2.941317377544463,2.128075219789422,1.9160825638789023,2.358425654144002
0.30999999999999994,2.4948079597215034,1.6811892126594032,1.4702840783760531,1.8934245258029077
0.32999999999999996,2.0642200117962837,1.2985552910786249,1.1211519350334522,1.4768474386585018
0.35,1.6511629554094622,0.9896296331048724,0.833056538432174,1.157303230323032
0.36999999999999994,1.305626751109767,0.7361065081298253,0.6056163846593654,0.8825124282952846
0.38999999999999996,0.9907645685624273,0.5404479271576466,0.4251515161893803,0.6703300275692382
0.4099999999999999,0.7536383149913971,0.39175862321310817,0.2902268997713894,0.5129784074059742
0.42999999999999994,0.557121886539287,0.2811516111644129,0.19540191477268876,0.38202148277777365
0.44999999999999996,0.40334582348174397,0.19960153369394115,0.1314905608834652,0.2848474668935273
0.4699999999999999,0.2888148881233148,0.1448072159750992,0.0856198645799724,0.2140591819954659
0.48999999999999994,0.20514799567696107,0.10116906474820146,0.05784576902849737,0.1577980418315304
0.5099999999999999,0.14260512215279927,0.06977150423966316,0.034299175676270756,0.11793678059603847
0.5299999999999999,0.10185997893529074,0.05212254607161766,0.022323982381996166,0.08966423680257835
0.5499999999999999,0.0734892439674184,0.039049425415597465,0.011523492112619743,0.0679800030807363
0.57,0.051846985518717754,0.027926720634451174,0.005759074869665191,0.052270272428807406
0.59,0.03914435890229268,0.017790430313405006,0.0,0.04368979002473696
0.6099999999999999,0.029021413484488837,0.011560693641618498,0.0,0.03373060490218125
0.6299999999999999,0.022347640026448647,0.006208521012576899,0.0,0.02806466097889538
0.6499999999999999,0.016197864311878394,0.005773338741026177,0.0,0.02240043183872891
0.6699999999999999,0.011680543105810636,0.005620187732021869,0.0,0.017392767037330278
0.69,0.008801434625206585,0.0,0.0,0.016640535668822207
0.7099999999999999,0.0062620609453138115,0.0,0.0,0.011656234398672334
0.7299999999999999,0.004537474965431985,0.0,0.0,0.011642257717988408
0.7499999999999999,0.0035700945159490237,0.0,0.0,0.011254924029262805
0.7699999999999999,0.002622867825830291,0.0,0.0,0.0061318846093552275
0.7899999999999999,0.0018627831869508212,0.0,0.0,0.00595555460882247
0.8099999999999998,0.0015086528438365229,0.0,0.0,0.005828847551337424
0.8299999999999998,0.0010911821141489355,0.0,0.0,0.005803796851517918
0.8499999999999999,0.000837820567855779,0.0,0.0,0.005763506281597935
0.8699999999999999,0.0004750528992996685,0.0,0.0,0.005765616201286495
0.8899999999999999,0.00042898716361000367,0.0,0.0,0.00559157461707392
0.9099999999999999,0.00031094371590523754,0.0,0.0,0.005583441751947562
0.9299999999999998,0.00021593313604530384,0.0,0.0,0.0
0.9499999999999998,0.00019290026820047143,0.0,0.0,0.0
0.9699999999999999,0.00014395542403020258,0.0,0.0,0.0
0.9899999999999999,0.00015547185795261877,0.0,0.0,0.0
