species,bin_center,count
human,11.725000000000001,0.0
human,11.775,0.0
human,11.825000000000001,0.0
human,11.875,0.0
human,11.925,0.0
human,11.975000000000001,0.0
human,12.025,0.0
human,12.075000000000001,0.0
human,12.125,0.0
human,12.175,0.0
human,12.225000000000001,0.0
human,12.275,0.0
human,12.325000000000001,0.0
human,12.375,0.0
human,12.425,0.0
human,12.475000000000001,0.0
human,12.525,0.0
human,12.575000000000001,0.0
human,12.625,0.0
human,12.675,0.0
human,12.725000000000001,0.0
human,12.775,0.0
human,12.825000000000001,0.0
human,12.875,0.0
human,12.925,0.0
human,12.975000000000001,0.0
human,13.025,0.0
human,13.075000000000001,0.0
human,13.125,0.0
human,13.175,0.0
human,13.225000000000001,0.0
human,13.275,0.0
human,13.325000000000001,0.0
human,13.375,0.0
human,13.425,0.0
human,13.475000000000001,0.0
human,13.525,0.0
human,13.575000000000001,0.0
human,13.625,0.0
human,13.675,0.0
human,13.725000000000001,0.0
human,13.775,0.0
human,13.825000000000001,0.0
human,13.875,0.0
human,13.925,0.0
human,13.975000000000001,0.0
human,14.025,0.0
human,14.075000000000001,0.0
human,14.125,0.0
human,14.175,0.0
human,14.225000000000001,0.0
human,14.275,0.0
human,14.325000000000001,0.0
human,14.375,0.0
human,14.425,0.0
human,14.475000000000001,0.0
human,14.525,0.0
human,14.575000000000001,0.0
human,14.625,0.0
human,14.675,0.0
human,14.725000000000001,0.0
human,14.775,0.0
human,14.825000000000001,0.0
human,14.875,0.0
human,14.925,0.0
human,14.975000000000001,0.0
human,15.025,0.0
human,15.075000000000001,0.0
human,15.125,0.0
human,15.175,0.0
human,15.225000000000001,0.0
human,15.275,0.0
human,15.325000000000001,0.0
human,15.375,0.0
human,15.425,0.0
human,15.475000000000001,0.0
human,15.525,0.0
human,15.575000000000001,0.0
human,15.625,0.0
human,15.675,0.0
human,15.725000000000001,0.0
human,15.775,0.0
human,15.825000000000001,0.0
human,15.875,0.0
human,15.925,0.0
human,15.975000000000001,0.0
human,16.025,0.0
human,16.075000000000003,0.0
human,16.125,0.0
human,16.175,0.0
human,16.225,0.0
human,16.275,0.0
human,16.325000000000003,0.0
human,16.375,0.0
human,16.425,0.0
human,16.475,0.0
human,16.525,0.0
human,16.575000000000003,0.0
human,16.625,0.0
human,16.675,0.0
human,16.725,0.0
human,16.775,0.0
human,16.825000000000003,0.0
human,16.875,0.0
human,16.925,0.0
human,16.975,0.0
human,17.025,0.0
human,17.075000000000003,0.0
human,17.125,0.0
human,17.175,0.0
human,17.225,0.0
human,17.275,0.0
human,17.325000000000003,0.0
human,17.375,0.0
human,17.425,0.0
human,17.475,0.0
human,17.525,0.0
human,17.575000000000003,0.0
human,17.625,0.0
human,17.675,0.0
human,17.725,0.0
human,17.775,0.0
human,17.825000000000003,0.0
human,17.875,0.0
human,17.925,0.0
human,17.975,0.0
human,18.025,0.0
human,18.075000000000003,0.0
human,18.125,0.0
human,18.175,0.0
human,18.225,0.0
human,18.275,0.0
human,18.325000000000003,0.0
human,18.375,0.0
human,18.425,0.0
human,18.475,0.0
human,18.525,0.0
human,18.575000000000003,0.0
human,18.625,0.0
human,18.675,0.0
human,18.725,0.0
human,18.775,0.0
human,18.825000000000003,0.0
human,18.875,0.0
human,18.925,0.0
human,18.975,0.0
human,19.025,0.0
human,19.075000000000003,0.0
human,19.125,0.0
human,19.175000000000004,0.0
human,19.225,0.0
human,19.275,0.0
human,19.325000000000003,0.0
human,19.375,0.0
human,19.425000000000004,0.0
human,19.475,0.0
human,19.525,0.0
human,19.575000000000003,0.0
human,19.625,0.0
human,19.675000000000004,0.0
human,19.725,0.0
human,19.775,0.0
human,19.825000000000003,0.0
human,19.875,0.0
human,19.925000000000004,0.0
human,19.975,0.0
rat,0.025,730100.0
rat,0.07500000000000001,5850973.0
rat,0.125,23693124.0
rat,0.17500000000000002,36140303.0
rat,0.225,35392523.0
rat,0.275,27618925.0
rat,0.32500000000000007,18085129.0
rat,0.375,10530334.0
rat,0.42500000000000004,5754570.0
rat,0.475,3069685.0
rat,0.525,1667395.0
rat,0.5750000000000001,936684.0
rat,0.625,553249.0
rat,0.675,345335.0
rat,0.7250000000000001,221158.0
rat,0.775,150481.0
rat,0.8250000000000001,99480.0
rat,0.875,65796.0
rat,0.925,45697.0
rat,0.9750000000000001,34549.0
rat,1.025,24851.0
rat,1.0750000000000002,16379.0
rat,1.125,11017.0
rat,1.1750000000000003,9059.0
rat,1.225,7046.0
rat,1.275,5383.0
rat,1.3250000000000002,4475.0
rat,1.375,3784.0
rat,1.4250000000000003,2961.0
rat,1.475,2290.0
rat,1.525,2128.0
rat,1.5750000000000002,2027.0
rat,1.625,1759.0
rat,1.6750000000000003,1219.0
rat,1.725,750.0
rat,1.775,491.0
rat,1.8250000000000002,351.0
rat,1.875,257.0
rat,1.9250000000000003,214.0
rat,1.975,179.0
rat,2.0250000000000004,124.0
rat,2.075,95.0
rat,2.125,90.0
rat,2.175,65.0
rat,2.225,50.0
rat,2.2750000000000004,44.0
rat,2.325,32.0
rat,2.375,37.0
rat,2.4250000000000003,33.0
rat,2.475,22.0
rat,2.5250000000000004,18.0
rat,2.575,21.0
rat,2.625,12.0
rat,2.6750000000000003,19.0
rat,2.725,14.0
rat,2.7750000000000004,11.0
rat,2.825,14.0
rat,2.875,7.0
rat,2.9250000000000003,3.0
rat,2.975,6.0
