x_eval,rat_pdf_ref,rat_sub_lo,rat_sub_hi,human_pdf_ref,human_sub_lo,human_sub_hi
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010050251256281407,0.0,0.0,0.0,0.0,0.0,0.0
0.020100502512562814,0.0,0.0,0.0,0.0,0.0,0.0
0.03015075376884422,0.14701964923762517,0.06326633165829142,0.2562311557788944,0.04551066973701422,0.026783919597989928,0.08180904522613058
0.04020100502512563,0.26734978564020073,0.1476884422110552,0.4049748743718592,0.1326615055986509,0.07904522613065323,0.20241206030150743
0.05025125628140704,0.38767992204277624,0.232110552763819,0.553718592964824,0.2198123414602876,0.13130653266331654,0.32301507537688434
0.06030150753768844,0.5080100584453517,0.3165326633165828,0.7024623115577887,0.30696317732192424,0.18356783919597983,0.4436180904522611
0.07035175879396985,0.6283401948479274,0.4009547738693466,0.8512060301507535,0.39411401318356093,0.23582914572864314,0.5642211055276379
0.08040201005025126,0.9093421152145567,0.6452763819095473,1.1706532663316576,0.4773635548242789,0.29673366834170845,0.6718592964824118
0.09045226130653267,1.3285965008525817,1.0271859296482408,1.636984924623115,0.5572561688795552,0.365075376884422,0.7683417085427133
0.10050251256281408,1.747850886490607,1.4090954773869346,2.1033165829145726,0.6371487829348315,0.4334170854271356,0.864824120603015
0.11055276381909548,2.167105272128632,1.7910050251256282,2.5696482412060297,0.7170413969901077,0.5017587939698491,0.9613065326633166
0.12060301507537688,2.586359657766657,2.1729145728643213,3.0359798994974865,0.796934011045384,0.5701005025125627,1.057788944723618
0.1306532663316583,2.934305408018774,2.4982914572864323,3.409597989949748,0.9699662343207835,0.7243718592964825,1.2537688442211057
0.1407035175879397,3.2267888863040723,2.779698492462311,3.71110552763819,1.2154403758785004,0.9454773869346731,1.5271356783919594
0.15075376884422112,3.519272364589372,3.0611055276381904,4.012613065326633,1.4609145174362181,1.1665829145728641,1.8005025125628138
0.16080402010050251,3.8117558428746707,3.3425125628140693,4.314120603015074,1.706388658993935,1.3876884422110547,2.0738693467336677
0.1708542713567839,4.1042393211599695,3.623919597989948,4.6156281407035165,1.9518628005516518,1.6087939698492455,2.3472361809045212
0.18090452261306533,4.214565608752563,3.72110552763819,4.728249999999999,2.210370375878129,1.8463731155778889,2.6253266331658285
0.19095477386934673,4.196994294369426,3.68894472361809,4.70825,2.4780290855528837,2.095518844221105,2.9067336683417073
0.20100502512562815,4.179422979986288,3.6567839195979897,4.688249999999999,2.7456877952276395,2.344664572864321,3.1881407035175875
0.21105527638190955,4.161851665603152,3.624623115577889,4.66825,3.0133465049023944,2.5938103015075367,3.4695477386934668
0.22110552763819097,4.144280351220014,3.5924623115577887,4.648249999999999,3.2810052145771498,2.8429560301507535,3.7509547738693465
0.23115577889447236,4.025589891049372,3.481507537688442,4.527172110552764,3.3143089355871207,2.870616834170854,3.7812060301507535
0.24120603015075376,3.84292609374786,3.3207035175879396,4.342146984924623,3.1993472556050855,2.758154522613065,3.6525628140703517
0.25125628140703515,3.660262296446348,3.1598994974874373,4.157121859296482,3.0843855756230503,2.6456922110552763,3.52391959798995
0.2613065326633166,3.4775984991448348,2.9990954773869345,3.972096733668341,2.9694238956410146,2.5332298994974867,3.3952763819095475
0.271356783919598,3.2949347018433226,2.838291457286432,3.7870716080402005,2.8544622156589794,2.420767587939698,3.2666331658291456
0.2814070351758794,3.0859032126042916,2.646733668341709,3.568793969849246,2.6933108306768903,2.2697989949748743,3.0944861809045228
0.2914572864321608,2.8618783299105934,2.4376884422110563,3.3316080402010058,2.505894711479084,2.096934673366835,2.8976017587939706
0.30150753768844224,2.637853447216894,2.2286432160804024,3.0944221105527636,2.3184785922812767,1.9240703517587938,2.700717336683417
0.31155778894472363,2.4138285645231954,2.0195979899497494,2.857236180904523,2.1310624730834706,1.7512060301507542,2.5038329145728646
0.32160804020100503,2.1898036818294973,1.8105527638190964,2.6200502512562824,1.9436463538856645,1.5783417085427143,2.306948492462312
0.3316582914572864,1.9965867136123783,1.6361306532663324,2.4068341708542724,1.8057704707095241,1.4560804020100506,2.1578706030150756
0.3417085427135678,1.8190643433361586,1.4793467336683426,2.2058291457286443,1.6931320662614027,1.3595979899497492,2.0331469849246235
0.35175879396984927,1.6415419730599379,1.3225628140703516,2.004824120603015,1.5804936618132805,1.2631155778894472,1.9084233668341706
0.36180904522613067,1.4640196027837185,1.1657788944723617,1.8038190954773867,1.467855257365159,1.1666331658291456,1.7836997487437183
0.37185929648241206,1.2864972325074988,1.0089949748743718,1.6028140703517586,1.3552168529170379,1.0701507537688442,1.658976130653266
0.38190954773869346,1.1538697094119605,0.8909045226130654,1.4516268844221105,1.2876569663536157,1.0068341708542712,1.586834170854271
0.3919597989949749,1.0416489350349134,0.790402010050251,1.3230841708542709,1.24058731519233,0.9585929648241204,1.5385929648241203
0.4020100502512563,0.9294281606578672,0.6898994974874371,1.194541457286432,1.193517664031044,0.9103517587939698,1.4903517587939696
0.4120603015075377,0.8172073862808207,0.5893969849246232,1.0659987437185927,1.1464480128697583,0.8621105527638191,1.4421105527638192
0.4221105527638191,0.7049866119037742,0.48889447236180944,0.9374560301507537,1.0993783617084727,0.8138693467336685,1.3938693467336685
0.4321608040201005,0.627771973322477,0.42276381909547756,0.846006281407035,1.0634784436561637,0.7799497487437187,1.3542211055276383
0.44221105527638194,0.5646826176061313,0.37050251256281397,0.7695238693467332,1.032085610893442,0.7518090452261306,1.318040201005025
0.45226130653266333,0.5015932618897858,0.3182412060301507,0.6930414572864319,1.0006927781307204,0.7236683417085427,1.2818592964824118
0.4623115577889447,0.4385039061734403,0.26597989949748735,0.6165590452261304,0.9692999453679988,0.6955276381909546,1.2456783919597987
0.4723618090452261,0.3754145504570949,0.2137185929648241,0.5400766331658289,0.9379071126052773,0.6673869346733667,1.2094974874371855
0.4824120603015075,0.3345522521356908,0.1822110552763819,0.4903517587939698,0.9077116088025156,0.6422110552763819,1.1733907035175877
0.49246231155778897,0.3016012793277402,0.15809045226130644,0.45015075376884406,0.8779422729346548,0.6180904522613064,1.1373103015075372
0.5025125628140703,0.26865030651979,0.13396984924623126,0.4099497487437187,0.8481729370667942,0.5939698492462312,1.1012298994974872
0.5125628140703518,0.23569933371183943,0.1098492462311558,0.36974874371859295,0.8184036011989334,0.5698492462311557,1.0651494974874367
0.5226130653266332,0.20274836090388884,0.08572864321608034,0.3295477386934672,0.7886342653310726,0.5457286432160803,1.0290690954773862
0.5326633165829145,0.18183020640929407,0.07080402010050257,0.3016080402010051,0.7606432014272081,0.5246733668341709,0.9989660804020096
0.542713567839196,0.1646599789303344,0.05874371859296484,0.27748743718592966,0.733206025512129,0.504572864321608,0.9707248743718588
0.5527638190954774,0.14748975145137472,0.04668341708542711,0.2533668341708542,0.7057688495970498,0.4844723618090451,0.9424836683417082
0.5628140703517588,0.13031952397241522,0.03462311557788951,0.22924623115577902,0.678331673681971,0.4643718592964825,0.9142424623115577
0.5728643216080402,0.11314929649345555,0.02256281407035178,0.20512562814070356,0.6508944977668918,0.4442713567839196,0.886001256281407
0.5829145728643216,0.10240529119455313,0.01683417085427139,0.19050251256281417,0.6275204246401372,0.4241708542713569,0.8579183417085428
0.592964824120603,0.09339534584899939,0.012814070351758803,0.1784422110552764,0.6052427443292794,0.40407035175879397,0.8298781407035174
0.6030150753768845,0.08438540050344565,0.008793969849246219,0.16638190954773865,0.5829650640184215,0.38396984924623107,0.801837939698492
0.6130653266331658,0.07537545515789201,0.004773869346733678,0.154321608040201,0.5606873837075639,0.36386934673366833,0.7737977386934669
0.6231155778894473,0.06636550981233827,0.0007537688442210942,0.14226130653266328,0.538409703396706,0.34376884422110543,0.7457575376884416
0.6331658291457286,0.060706629513819985,0.0,0.1334673366834171,0.5218685377424394,0.33020100502512567,0.7240866834170849
0.6432160804020101,0.055821071918463645,0.0,0.12542713567839195,0.5066511831627704,0.31814070351758794,0.7038856783919594
0.6532663316582915,0.05093551432310731,0.0,0.1173869346733668,0.49143382858310136,0.3060804020100502,0.6836846733668338
0.6633165829145728,0.04604995672775103,0.0,0.10934673366834174,0.47621647400343253,0.2940201005025126,0.6634836683417085
0.6733668341708543,0.0411643991323947,0.0,0.10130653266331659,0.4609991194237636,0.28195979899497486,0.6432826633165828
0.6834170854271356,0.037926748227802225,0.0,0.09663316582914576,0.4441583790044698,0.26989949748743725,0.626532663316583
0.6934673366834171,0.035008840412462404,0.0,0.09261306532663317,0.4270026532730098,0.2578391959798995,0.6104522613065326
0.7035175879396985,0.03209093259712258,0.0,0.0885929648241206,0.4098469275415498,0.24577889447236181,0.5943718592964824
0.7135678391959799,0.029173024781782794,0.0,0.08457286432160807,0.39269120181009,0.23371859296482422,0.5782914572864323
0.7236180904522613,0.026255116966442973,0.0,0.08055276381909549,0.37553547607862997,0.2216582914572865,0.5622110552763819
0.7336683417085427,0.024421493750941187,0.0,0.07653266331658296,0.3652369146784759,0.2130653266331659,0.5495979899497488
0.7437185929648241,0.02276072750063096,0.0,0.07251256281407037,0.3560315244036025,0.20502512562814074,0.5375376884422111
0.7537688442211056,0.021099961250320733,0.0,0.06849246231155778,0.346826134128729,0.19698492462311556,0.5254773869346733
0.7638190954773869,0.019439195000010526,0.0,0.06447236180904524,0.33762074385385565,0.18894472361809048,0.5134170854271357
0.7738693467336684,0.0177784287497003,0.0,0.060452261306532654,0.32841535357898216,0.18090452261306528,0.5013567839195979
0.7839195979899498,0.016527994681114395,0.0,0.05643216080402008,0.31957429307062585,0.17286432160804013,0.4892964824120602
0.7939698492462312,0.015329574551056942,0.0,0.052412060301507545,0.31077941520872954,0.16482412060301507,0.47723618090452263
0.8040201005025126,0.014131154420999473,0.0,0.04839195979899497,0.3019845373468331,0.15678391959798993,0.4651758793969849
0.8140703517587939,0.012932734290942018,0.0,0.044371859296482435,0.2931896594849368,0.14874371859296487,0.4531155778894473
0.8241206030150754,0.011734314160884548,0.0,0.040351758793969864,0.2843947816230404,0.14070351758793972,0.44105527638190956
0.8341708542713568,0.010907203422219153,0.0,0.039999999999999994,0.2767938629568396,0.13633165829145727,0.4289949748743718
0.8442211055276382,0.010115697693687253,0.0,0.039999999999999994,0.2693074335285824,0.13231155778894474,0.4169346733668342
0.8542713567839196,0.009324191965155344,0.0,0.039999999999999994,0.26182100410032505,0.12829145728643215,0.4048743718592964
0.864321608040201,0.008532686236623444,0.0,0.039999999999999994,0.2543345746720678,0.1242713567839196,0.3928140703517588
0.8743718592964824,0.007741180508091536,0.0,0.039999999999999994,0.24684814524381052,0.12025125628140701,0.3807537688442211
0.8844221105527639,0.007248943497332886,0.0,0.039999999999999994,0.24082788990351525,0.11623115577889444,0.37246231155778886
0.8944723618090452,0.00677665773442579,0.0,0.039999999999999994,0.23490537950241755,0.11221105527638191,0.3644221105527638
0.9045226130653267,0.006304371971518689,0.0,0.039999999999999994,0.22898286910131974,0.10819095477386934,0.35638190954773863
