species,sample_size,position,coord,density
rat,100,-0.15,0.004976228869727486,5.617227714941181
rat,100,-0.15,0.005381035827710765,8.015560009325522
rat,100,-0.15,0.005785842785694042,11.06976194829158
rat,100,-0.15,0.006190649743677321,14.880653852010527
rat,100,-0.15,0.006595456701660598,19.539184446581423
rat,100,-0.15,0.0070002636596438765,25.092713177535252
rat,100,-0.15,0.007405070617627154,31.507185959184557
rat,100,-0.15,0.007809877575610432,38.64374729348666
rat,100,-0.15,0.00821468453359371,46.26455826356047
rat,100,-0.15,0.008619491491576987,54.06889148860947
rat,100,-0.15,0.009024298449560268,61.74460252325767
rat,100,-0.15,0.009429105407543544,69.01168305449707
rat,100,-0.15,0.009833912365526823,75.63940238189926
rat,100,-0.15,0.010238719323510101,81.43432430519604
rat,100,-0.15,0.010643526281493378,86.21438216858509
rat,100,-0.15,0.011048333239476656,89.79363590920529
rat,100,-0.15,0.011453140197459934,91.99718902457835
rat,100,-0.15,0.011857947155443213,92.70831021883363
rat,100,-0.15,0.012262754113426491,91.92964631884641
rat,100,-0.15,0.012667561071409768,89.82830955369216
rat,100,-0.15,0.013072368029393048,86.73646315259933
rat,100,-0.15,0.013477174987376325,83.09436195883649
rat,100,-0.15,0.013881981945359601,79.34687859206436
rat,100,-0.15,0.014286788903342881,75.8289901276094
rat,100,-0.15,0.014691595861326158,72.6879425409567
rat,100,-0.15,0.015096402819309438,69.87786415221778
rat,100,-0.15,0.015501209777292715,67.22697129476954
rat,100,-0.15,0.01590601673527599,64.53828213444125
rat,100,-0.15,0.01631082369325927,61.669963378605225
rat,100,-0.15,0.016715630651242548,58.562489919224184
rat,100,-0.15,0.017120437609225825,55.21904626756611
rat,100,-0.15,0.017525244567209105,51.67175152851931
rat,100,-0.15,0.01793005152519238,47.96274684866037
rat,100,-0.15,0.01833485848317566,44.146100179589055
rat,100,-0.15,0.01873966544115894,40.29694062823696
rat,100,-0.15,0.019144472399142215,36.51220299157389
rat,100,-0.15,0.019549279357125495,32.89884193544351
rat,100,-0.15,0.019954086315108772,29.556602606146356
rat,100,-0.15,0.020358893273092052,26.563888897119043
rat,100,-0.15,0.02076370023107533,23.96897153920391
rat,100,-0.15,0.02116850718905861,21.783981605271233
rat,100,-0.15,0.021573314147041885,19.981349735072772
rat,100,-0.15,0.021978121105025162,18.49717792958752
rat,100,-0.15,0.022382928063008442,17.2451217332133
rat,100,-0.15,0.02278773502099172,16.136719679496448
rat,100,-0.15,0.023192541978975,15.098223485442432
rat,100,-0.15,0.023597348936958275,14.077292241230298
rat,100,-0.15,0.024002155894941552,13.04204165318983
rat,100,-0.15,0.024406962852924832,11.979723261320121
rat,100,-0.15,0.02481176981090811,10.898358401299777
rat,100,-0.15,0.02521657676889139,9.827996011519874
rat,100,-0.15,0.025621383726874666,8.81673356115009
rat,100,-0.15,0.026026190684857942,7.920334097229198
rat,100,-0.15,0.026430997642841222,7.18749924494554
rat,100,-0.15,0.0268358046008245,6.6432801149898895
rat,100,-0.15,0.027240611558807776,6.274219572743802
rat,100,-0.15,0.027645418516791056,6.022533466314856
rat,100,-0.15,0.028050225474774333,5.797829668115598
rat,100,-0.15,0.028455032432757613,5.507320683636064
rat,100,-0.15,0.02885983939074089,5.092049134507807
rat,100,-0.15,0.029264646348724166,4.549097440406406
rat,100,-0.15,0.029669453306707446,3.9268124210043727
rat,100,-0.15,0.030074260264690723,3.2973754577063654
rat,100,-0.15,0.030479067222674003,2.724786268006524
rat,100,-0.15,0.03088387418065728,2.2462275829642597
rat,100,-0.15,0.031288681138640556,1.872607378313498
rat,100,-0.15,0.03169348809662383,1.6005349459316554
rat,100,-0.15,0.03209829505460711,1.4229111804914567
rat,100,-0.15,0.03250310201259039,1.3305392999932797
rat,100,-0.15,0.03290790897057367,1.3067755339180367
rat,100,-0.15,0.033312715928556946,1.323278451878601
rat,100,-0.15,0.03371752288654022,1.3434195164317975
rat,100,-0.15,0.0341223298445235,1.3331210076368256
rat,100,-0.15,0.03452713680250678,1.2726834400451652
rat,100,-0.15,0.03493194376049006,1.16227950525359
rat,100,-0.15,0.035336750718473336,1.0183818381567395
rat,100,-0.15,0.03574155767645661,0.8643956306170806
rat,100,-0.15,0.03614636463443989,0.7214955655312046
rat,100,-0.15,0.036551171592423166,0.6036624079793724
rat,100,-0.15,0.03695597855040644,0.5168165269181343
rat,100,-0.15,0.03736078550838973,0.4596445232166322
rat,100,-0.15,0.037765592466373,0.42460948789896213
rat,100,-0.15,0.03817039942435628,0.39971336925422335
rat,100,-0.15,0.03857520638233956,0.37203597719582543
rat,100,-0.15,0.03898001334032283,0.33240304872993137
rat,100,-0.15,0.03938482029830612,0.27878802762043814
rat,100,-0.15,0.039789627256289394,0.21633298860263941
rat,100,-0.15,0.04019443421427267,0.15407699334180633
rat,100,-0.15,0.04059924117225595,0.1006057205845644
rat,100,-0.15,0.04100404813023922,0.0611596452964537
rat,100,-0.15,0.04140885508822251,0.03732121197975588
rat,100,-0.15,0.041813662046205784,0.02862679646231082
rat,100,-0.15,0.04221846900418906,0.034532510276762365
