species,distribution,sample_idx,r_arith,r_eff,wasserstein
human,gamma,30,0.39942222215974166,0.9189246440150306,0.04897213293892732
human,gamma,31,0.42706190705532476,0.9732096845146411,0.0528724074770608
human,gamma,32,0.47669631930995365,1.1919767578091929,0.057736948985677064
human,gamma,33,0.49563472551775806,1.2466786629747244,0.05245747910181754
human,gamma,34,0.4129937387220444,0.9504727418147311,0.05044567009413065
rat,genextreme,0,0.23425653275489028,0.36697246339155176,0.0019110028894910043
rat,genextreme,1,0.29924327121169325,0.7126247598958815,0.004082206474948277
rat,genextreme,2,0.2403194395424567,0.39440794506764254,0.0019282369320507869
rat,genextreme,3,0.28164594655423486,0.6645983847510456,0.006953589971852291
rat,genextreme,4,0.24766824610267107,0.385978797472192,0.0006178112488504187
rat,genextreme,5,0.2968203240368215,0.6737868825921274,0.005371710327975731
rat,genextreme,6,0.3012379782251011,0.6182396238027901,0.0037860207363695554
rat,genextreme,7,0.21624226217013748,0.3361330609901309,0.001226571114650468
rat,genextreme,8,0.25980911128989853,0.4681548176597651,0.0018988862251884734
rat,genextreme,9,0.23528876409506363,0.38187720504607303,0.0017696857850389297
rat,genextreme,10,0.22754884828471142,0.34394569559043237,0.0013727791960954402
rat,genextreme,11,0.22966401514233803,0.4073088802612913,0.0007574900969569238
rat,genextreme,12,0.26728694645195183,0.47746885278292267,0.001657875819362899
rat,genextreme,13,0.23318396074422226,0.42722796146828973,0.0016905434411360178
rat,genextreme,14,0.2423902639490558,0.39251414399816315,0.001943825581103386
rat,genextreme,15,0.23007774432110684,0.33919177373739506,0.0016819274076999627
rat,genextreme,16,0.2640717687939546,0.4799318543222126,0.0012211862740586275
rat,genextreme,17,0.2152985015522403,0.30970006154361185,0.0011020967325127196
rat,genextreme,18,0.20629988048573755,0.3002775500695737,0.0014178857960833046
rat,invgauss,0,0.2342582741543117,0.4221986889281404,0.008604149794560067
rat,invgauss,1,0.29958811832318516,0.6225242628214265,0.007083861609511482
rat,invgauss,2,0.24034411458104543,0.4519152443709379,0.008660068405687263
rat,invgauss,3,0.2822482583991074,0.5677274715869128,0.011975625836025242
rat,invgauss,4,0.24760454332257856,0.43862378882225855,0.008223430369272214
rat,invgauss,5,0.2968780904610173,0.6237632016792822,0.0025233795671690084
rat,invgauss,6,0.301370631149217,0.5568322890118192,0.007882823809592633
rat,invgauss,7,0.2162216514877167,0.3758758168684468,0.006183887419726583
rat,invgauss,8,0.2596876567657091,0.46371142177507013,0.00455800593483216
rat,invgauss,9,0.2350608967403004,0.41088977826551853,0.006092931845332205
rat,invgauss,10,0.22754067170357808,0.3921554554305176,0.00786585770068826
rat,invgauss,11,0.22969336795721898,0.4428648147230074,0.005736699743791513
rat,invgauss,12,0.26718932988073896,0.48966805537255753,0.005187905445469808
rat,invgauss,13,0.23328476451004432,0.4575696812905006,0.004803227203799741
rat,invgauss,14,0.2424660984916918,0.4409811095974796,0.007294462386880171
rat,invgauss,15,0.229944913356607,0.3894225447763038,0.009248227850060752
rat,invgauss,16,0.2640846548763847,0.492793052514061,0.004549469225325832
rat,invgauss,17,0.21513514013103602,0.34974698434222296,0.007800071063404893
rat,invgauss,18,0.20613243058472253,0.33809254190853716,0.007327840282013874
rat,fatiguelife,0,0.2341771666609608,0.4155586433406739,0.00807271928863648
rat,fatiguelife,1,0.29962083966431513,0.6060695929936311,0.008169778507471945
rat,fatiguelife,2,0.24025190728544082,0.44333211150007357,0.008037162778427188
rat,fatiguelife,3,0.2823087497822513,0.5540034353499753,0.012710091818710226
rat,fatiguelife,4,0.247526483106529,0.4322345756611478,0.007734837295731964
rat,fatiguelife,5,0.2968525240768145,0.6065837527874463,0.002223501896077436
rat,fatiguelife,6,0.301389526401196,0.5471379957110463,0.008346025562655828
rat,fatiguelife,7,0.21616702475628893,0.37095264077897216,0.005768701943008089
rat,fatiguelife,8,0.2596619950498644,0.45670689751546745,0.004569263360893194
rat,fatiguelife,9,0.23501124125796305,0.4053172316275738,0.005739215452750729
rat,fatiguelife,10,0.22747665174656462,0.38721449367523286,0.007426327144677472
rat,fatiguelife,11,0.22962285076353534,0.433569987003814,0.005128355532552558
rat,fatiguelife,12,0.2671454736536015,0.4813349491020887,0.004877380541980597
rat,fatiguelife,13,0.23321575085680343,0.44726317395458154,0.004123209699890176
