mean_radius_um,cov_median,cov_q25,cov_q75
0.09657450327298102,0.32407375740691513,0.26016175037433764,0.38865230942667994
0.11803550400031013,0.30051123148963094,0.2448526654266673,0.3488162538617405
0.13949650472763925,0.3004045436041738,0.248565585838427,0.3542974826777035
0.16095750545496834,0.30390353088528554,0.2541483280898253,0.3619448912646879
0.1824185061822975,0.29926643045996687,0.24912110864190734,0.3591946561986583
0.20387950690962658,0.2866246219439718,0.23732171198314303,0.3486558595676481
0.2253405076369557,0.2703857849393325,0.22277616813876627,0.3321901813475271
0.2468015083642848,0.2533262615829879,0.20887777418707082,0.3130104290020217
0.2682625090916139,0.2388769325767824,0.19543783829217531,0.29509861610850724
0.289723509818943,0.22574157653858562,0.18525306763594235,0.27941776787936085
0.31118451054627216,0.2142680554269171,0.17466262851685413,0.26651362182735105
0.3326455112736013,0.20370574940232966,0.16519263336331147,0.25808076730474744
0.35410651200093035,0.18973084255214223,0.15531026495922604,0.23954225062114973
0.3755675127282595,0.18125755271011756,0.14590848795930764,0.23084092280538598
0.39702851345558865,0.17050299580415526,0.1385225136614766,0.2175581267249727
0.41848951418291774,0.15573094848514807,0.1278188972650065,0.20206136767281038
0.43995051491024684,0.1504174760770526,0.12372627199726867,0.1876314957863341
0.461411515637576,0.14584153618176554,0.1193338405203165,0.18217583541520116
0.4828725163649051,0.14195140558470695,0.11536198008762061,0.17503288157020763
0.5043335170922342,0.12805260821186426,0.10402667923531236,0.15896253865720972
0.5257945178195633,0.12827657659226932,0.10190210012951922,0.16396893012295127
0.5472555185468924,0.12199821447367909,0.09826240842628119,0.15840159196825007
0.5687165192742216,0.1200063710486153,0.09496076771846032,0.16028041051324943
0.5901775200015507,0.12393522887948091,0.09110485036854615,0.15572240578628554
0.6116385207288797,0.11273256861028921,0.09551645556572742,0.1606104366320024
0.633099521456209,0.11665398214303604,0.0865743507073911,0.1486981340732553
