species,distribution,pdf_x,pdf_val
human,genextreme,0.025,0.002299055774980974
human,genextreme,0.06497995991983968,0.13240602391043857
human,genextreme,0.10495991983967937,0.780332599692565
human,genextreme,0.14493987975951905,1.7254730181318867
human,genextreme,0.18491983967935874,2.3899660479284908
human,genextreme,0.22489979959919842,2.605423827855234
human,genextreme,0.26487975951903814,2.498276812629538
human,genextreme,0.3048597194388778,2.2326014604645654
human,genextreme,0.3448396793587175,1.919385779898155
human,genextreme,0.3848196392785572,1.6163620633855253
human,genextreme,0.4247995991983969,1.3475288180934983
human,genextreme,0.46477955911823654,1.1191985930865866
human,genextreme,0.5047595190380763,0.929614005729079
human,genextreme,0.544739478957916,0.7739672479807661
human,genextreme,0.5847194388777556,0.6467829144251278
human,genextreme,0.6246993987975953,0.5429345451479168
human,genextreme,0.664679358717435,0.4579995890377898
human,genextreme,0.7046593186372747,0.38831525663337435
human,genextreme,0.7446392785571144,0.3309126980918221
human,genextreme,0.784619238476954,0.28341239791509415
human,genextreme,0.8245991983967937,0.24391710224529953
human,genextreme,0.8645791583166335,0.21091639009655783
human,genextreme,0.9045591182364731,0.18320684810659826
human,genextreme,0.9445390781563128,0.15982747992317883
human,genextreme,0.9845190380761525,0.14000838806115623
human,genextreme,1.0244989979959922,0.12313040210677204
human,genextreme,1.0644789579158318,0.10869347224116693
human,genextreme,1.1044589178356714,0.0962919665528938
human,genextreme,1.144438877755511,0.0855953566700893
human,genextreme,1.1844188376753508,0.07633308978933395
human,genextreme,1.2243987975951904,0.06828270794860265
human,genextreme,1.2643787575150303,0.061260486797944866
human,genextreme,1.3043587174348699,0.055114032318231455
human,genextreme,1.3443386773547095,0.04971640285530374
human,genextreme,1.3843186372745493,0.04496142308136794
human,genextreme,1.424298597194389,0.04075993260057251
human,genextreme,1.4642785571142287,0.03703677019179568
human,genextreme,1.5042585170340683,0.03372833931463153
human,genextreme,1.544238476953908,0.03078063473455917
human,genextreme,1.5842184368737477,0.028147636431515074
human,genextreme,1.6241983967935874,0.025789997230757623
human,genextreme,1.664178356713427,0.023673966268307218
human,genextreme,1.7041583166332668,0.021770502560514417
human,genextreme,1.7441382765531064,0.02005454241077563
human,genextreme,1.784118236472946,0.018504391779991802
human,genextreme,1.8240981963927858,0.01710122054533312
human,genextreme,1.8640781563126254,0.01582864013566181
human,genextreme,1.9040581162324652,0.014672349637765588
human,genextreme,1.9440380761523048,0.013619838327090551
human,genextreme,1.9840180360721444,0.012660134852746389
human,genextreme,2.0239979959919845,0.011783595124832158
human,genextreme,2.063977955911824,0.010981722409876788
human,genextreme,2.1039579158316637,0.0102470143129998
human,genextreme,2.143937875751503,0.009572832272216338
human,genextreme,2.183917835671343,0.008953289957259572
human,genextreme,2.2238977955911827,0.008383157588590588
human,genextreme,2.263877755511022,0.00785777970044824
human,genextreme,2.303857715430862,0.007373004287420725
human,genextreme,2.3438376753507018,0.006925121614996758
human,genextreme,2.3838176352705416,0.006510811255121939
human,genextreme,2.423797595190381,0.006127096139322439
human,genextreme,2.463777555110221,0.005771302613573837
human,genextreme,2.5037575150300606,0.005441025638113114
human,genextreme,2.5437374749499,0.005134098407715744
human,genextreme,2.58371743486974,0.004848565778361695
human,genextreme,2.6236973947895796,0.004582660978561389
human,genextreme,2.663677354709419,0.0043347851610513926
human,genextreme,2.703657314629259,0.004103489415666499
human,genextreme,2.7436372745490987,0.003887458919045534
human,genextreme,2.783617234468938,0.0036854989431545837
human,genextreme,2.823597194388778,0.0034965224838255948
human,genextreme,2.8635771543086177,0.003319539303776331
human,genextreme,2.9035571142284575,0.00315364621286179
human,genextreme,2.943537074148297,0.0029980184324049134
human,genextreme,2.9835170340681367,0.0028519019110270598
human,genextreme,3.0234969939879766,0.0027146064769978987
human,genextreme,3.063476953907816,0.0025854997272087283
human,genextreme,3.1034569138276558,0.002464001565827038
human,genextreme,3.1434368737474956,0.0023495793168353727
human,genextreme,3.183416833667335,0.0022417433442637785
human,genextreme,3.223396793587175,0.0021400431222197884
human,genextreme,3.2633767535070146,0.0020440637039950533
human,genextreme,3.303356713426854,0.0019534225457438622
human,genextreme,3.343336673346694,0.00186776664562456
human,genextreme,3.3833166332665336,0.001786769963984832
human,genextreme,3.423296593186373,0.001710131094255759
human,genextreme,3.463276553106213,0.001637571157780613
human,genextreme,3.5032565130260527,0.0015688318989147902
human,genextreme,3.543236472945892,0.001503673959453818
human,genextreme,3.583216432865732,0.001441875313829374
human,genextreme,3.6231963927855717,0.0013832298486038627
human,genextreme,3.6631763527054115,0.0013275460716303715
human,genextreme,3.703156312625251,0.0012746459378602927
human,genextreme,3.7431362725450907,0.00122436378020362
human,genextreme,3.7831162324649306,0.0011765453351021335
human,genextreme,3.82309619238477,0.0011310468535836826
human,genextreme,3.8630761523046098,0.0010877342895460201
human,genextreme,3.9030561122244496,0.0010464825578862219
human,genextreme,3.943036072144289,0.001007174855860709
human,genextreme,3.983016032064129,0.0009697020417436408
human,genextreme,4.022995991983969,0.0009339620654577666
human,genextreme,4.062975951903809,0.000899859446391319
human,genextreme,4.102955911823648,0.0008673047940950389
human,genextreme,4.142935871743488,0.0008362143679815757
human,genextreme,4.182915831663328,0.0008065096725319204
human,genextreme,4.222895791583167,0.0007781170848549034
human,genextreme,4.262875751503007,0.0007509675117513593
human,genextreme,4.302855711422847,0.0007249960737079249
human,genextreme,4.342835671342686,0.0007001418134905729
human,genextreme,4.382815631262526,0.0006763474272278067
human,genextreme,4.422795591182366,0.0006535590160708426
