group,coord,density
within,0.002836529620914691,2.6011595635869433
within,0.0033103440121111482,5.159433187687625
within,0.0037841584033076053,8.687897417608513
within,0.004257972794504062,13.416915937719402
within,0.0047317871857005195,18.52458854355548
within,0.005205601576896976,23.951001474228857
within,0.005679415968093434,31.273891332230583
within,0.00615323035928989,40.22732540467839
within,0.006627044750486347,47.93601426679922
within,0.0071008591416828045,55.40068830521375
within,0.007574673532879261,65.55264732174273
within,0.008048487924075719,76.54936493553426
within,0.008522302315272175,86.95850642464953
within,0.008996116706468632,97.46454823233466
within,0.009469931097665089,106.11247810591904
within,0.009943745488861547,108.84453974074694
within,0.010417559880058004,105.00958078821901
within,0.010891374271254462,99.89772287932497
within,0.011365188662450919,99.18347598842105
within,0.011839003053647375,102.03724003608386
within,0.012312817444843832,101.51683996469124
within,0.012786631836040289,94.17162361190245
within,0.013260446227236745,83.34158405410908
within,0.013734260618433202,72.92459862704924
within,0.014208075009629659,64.34574030913998
within,0.014681889400826115,57.28175538285046
within,0.015155703792022576,50.859169605612536
within,0.015629518183219032,45.16839701415701
within,0.01610333257441549,39.862208439178154
within,0.016577146965611946,34.9058191164835
within,0.017050961356808402,30.61597835134257
within,0.01752477574800486,26.47307067822672
within,0.017998590139201315,22.615334706620054
within,0.018472404530397776,19.410187246447396
within,0.018946218921594232,16.97524692395153
within,0.01942003331279069,15.466633116619855
within,0.019893847703987146,14.55273456499553
within,0.020367662095183602,13.43584487888611
within,0.02084147648638006,12.0877535354908
within,0.021315290877576516,11.284474154300598
within,0.021789105268772972,10.84001467910713
within,0.02226291965996943,10.316983297526109
within,0.02273673405116589,10.159236671075206
within,0.023210548442362346,10.345641829200888
within,0.023684362833558802,10.181814050736724
within,0.02415817722475526,9.46414210441349
within,0.024631991615951716,8.214357038876695
within,0.025105806007148172,6.4542080441147744
within,0.02557962039834463,4.566159804453233
within,0.026053434789541086,2.911123527627427
within,0.026527249180737542,1.6110503427953082
within,0.027001063571934002,0.7643982943425522
within,0.02747487796313046,0.3340971806775938
within,0.027948692354326916,0.15766982185477038
within,0.028422506745523372,0.10307764822920976
within,0.02889632113671983,0.09171127800406728
within,0.029370135527916286,0.07695891143631435
within,0.029843949919112742,0.05128050572510457
within,0.0303177643103092,0.051692031834938264
within,0.030791578701505656,0.07678359783735894
within,0.03126539309270211,0.07798163471611545
within,0.03173920748389857,0.0502773127393503
within,0.032213021875095026,0.021678163123767885
within,0.032686836266291486,0.005743430212614887
within,0.03316065065748794,0.0008217885611984328
within,0.0336344650486844,5.89330586792349e-05
within,0.03410827943988086,2.056207515420299e-06
within,0.03458209383107731,3.4547090815390556e-08
within,0.03505590822227377,5.494325382034545e-10
within,0.035529722613470226,3.370461542191347e-08
within,0.036003537004666686,2.0085735778320535e-06
within,0.03647735139586314,5.7341663881922355e-05
within,0.0369511657870596,0.0007841933475753769
within,0.03742498017825605,0.00513743784457371
within,0.03789879456945251,0.01612305547502505
within,0.03837260896064897,0.024250005328911257
within,0.038846423351845426,0.01768606644936017
within,0.039320237743041886,0.008208467387856452
within,0.03979405213423834,0.010950214527169717
within,0.0402678665254348,0.022034089232697698
within,0.04074168091663125,0.02531293336713187
within,0.04121549530782771,0.0228363284135601
within,0.041689309699024166,0.027425622927928713
within,0.042163124090220626,0.03165816604434439
within,0.042636938481417086,0.03139547746558039
within,0.04311075287261354,0.02487069817787126
within,0.04358456726381,0.011716656932803514
within,0.04405838165500645,0.0027967433438100893
within,0.04453219604620291,0.0003237457408420729
within,0.045006010437399366,1.8066125228594326e-05
within,0.045479824828595826,4.0532895864498795e-06
within,0.04595363921979228,9.087270137370803e-05
within,0.04642745361098874,0.0011067843556045974
within,0.0469012680021852,0.006457950795730212
within,0.04737508239338165,0.01805303221414192
within,0.04784889678457811,0.02423640312138731
within,0.048322711175774566,0.01638683518941076
within,0.048796525566971026,0.010331465565774075
within,0.04927033995816748,0.0174951177635486
within,0.04974415434936394,0.024313803368611202
between,0.0023256840053842917,9.871222099742752
between,0.003264603575114932,10.808290708480556
between,0.004203523144845572,11.736174366675344
between,0.005142442714576213,12.641001578350657
between,0.006081362284306852,13.509240663442542
between,0.007020281854037493,14.32819834060545
between,0.007959201423768134,15.086481815841251
between,0.008898120993498774,15.774397778883614
between,0.009837040563229413,16.384266035785018
between,0.010775960132960054,16.910631427156876
between,0.011714879702690695,17.350364644814558
between,0.012653799272421334,17.702649941970442
between,0.013592718842151975,17.968864911685067
between,0.014531638411882614,18.152363931269093
between,0.015470557981613255,18.25818210352859
between,0.016409477551343893,18.292680288282504
between,0.017348397121074534,18.263153989480653
between,0.018287316690805175,18.177429472282846
between,0.019226236260535816,18.04346967600675
between,0.020165155830266457,17.869010485982816
between,0.021104075399997098,17.66124498912301
between,0.022042994969727735,17.426569723417426
between,0.022981914539458376,17.17040287464875
between,0.023920834109189017,16.89708007230644
between,0.02485975367891966,16.609829055076723
between,0.0257986732486503,16.310820156944448
between,0.026737592818380937,16.001285446144024
between,0.027676512388111578,15.681695581081101
between,0.02861543195784222,15.35198020149931
between,0.02955435152757286,15.011775141735473
between,0.030493271097303497,14.660678135802414
between,0.031432190667034135,14.298494165436123
between,0.03237111023676478,13.925452320103407
between,0.03331002980649542,13.542378052055396
between,0.03424894937622606,13.15080797420636
between,0.0351878689459567,12.753038696365275
