mean_radius_um,std_median,std_q25,std_q75
0.09657450327298102,0.03236452191244772,0.02629687143824919,0.04030980153455775
0.11803550400031013,0.03638167166154731,0.029679420482790726,0.04281868334387598
0.13949650472763925,0.042603831589947815,0.03518555627440717,0.0500973230146626
0.16095750545496834,0.04922245830425353,0.04111318114696098,0.05869635603119712
0.1824185061822975,0.05465746555175992,0.045513210454733,0.0657065082172971
0.20387950690962658,0.05837997281077749,0.048300514845702906,0.07107674025808645
0.2253405076369557,0.06087580947839637,0.050183763612881724,0.07480251932799703
0.2468015083642848,0.06234582634593067,0.05150071153100293,0.07693964828059736
0.2682625090916139,0.0639216622641432,0.052335948411290814,0.07882938941610698
0.289723509818943,0.06521802633231424,0.0535619124313322,0.08056762938785657
0.31118451054627216,0.06652640221753994,0.0542096662184631,0.08298086374610934
0.3326455112736013,0.06754001915729588,0.054703012286512,0.0855024536057907
0.35410651200093035,0.06700397876580522,0.05501002185920124,0.08456425854887165
0.3755675127282595,0.06768968577310705,0.054580876653903425,0.08600441050431477
0.39702851345558865,0.06743965874049883,0.054937726752229896,0.08611371848365984
0.41848951418291774,0.06520518483328026,0.05346459715871385,0.0839508692881287
0.43995051491024684,0.06628119726195358,0.054238420116487836,0.08277122495696373
0.461411515637576,0.06728263961334609,0.05499193307334853,0.0828186320651263
0.4828725163649051,0.06824680812544373,0.055908538293858834,0.08404338541122724
0.5043335170922342,0.06444780799372736,0.0524290814991961,0.07984822876260433
0.5257945178195633,0.06760239907753868,0.05394026540113942,0.08585532469881173
0.5472555185468924,0.06671372378664572,0.05407429732697713,0.08722499126870246
0.5687165192742216,0.06769043675806959,0.05412746062679458,0.09113585519693297
0.5901775200015507,0.07286527323542034,0.0535716419299868,0.09106661346796387
0.6116385207288797,0.06909219302559927,0.057783076668185794,0.09738080438203915
0.633099521456209,0.073305131396395,0.05507017166442883,0.09354979598859084
